[gate_m15_g1] out-00000.safetensors: 60 tensors, 204800 rows, 800 blocks checked bit-exact vs source, ratio=0.7524, failures=0
[gate_m15_g1] out-00001.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7525, failures=0
[gate_m15_g1] out-00002.safetensors: 409 tensors, 1398784 rows, 5464 blocks checked bit-exact vs source, ratio=0.7527, failures=0
[gate_m15_g1] out-00003.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7532, failures=0
[gate_m15_g1] out-00004.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7534, failures=0
[gate_m15_g1] out-00005.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7536, failures=0
[gate_m15_g1] out-00006.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7539, failures=0
[gate_m15_g1] out-00007.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7541, failures=0
[gate_m15_g1] out-00008.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7542, failures=0
[gate_m15_g1] out-00009.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00010.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00011.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00012.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00013.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00014.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00015.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00016.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00017.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00018.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00019.safetensors: 378 tensors, 1290240 rows, 5040 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00020.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00021.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00022.safetensors: 421 tensors, 1435648 rows, 5608 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00023.safetensors: 414 tensors, 1413120 rows, 5520 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00024.safetensors: 409 tensors, 1398784 rows, 5464 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00025.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00026.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00027.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7548, failures=0
[gate_m15_g1] out-00028.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00029.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00030.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00031.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7547, failures=0
[gate_m15_g1] out-00032.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00033.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7546, failures=0
[gate_m15_g1] out-00034.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00035.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7545, failures=0
[gate_m15_g1] out-00036.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00037.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7410, failures=0
[gate_m15_g1] out-00038.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7042, failures=0
[gate_m15_g1] out-00039.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7213, failures=0
[gate_m15_g1] out-00040.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00041.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7544, failures=0
[gate_m15_g1] out-00042.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00043.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00044.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00045.safetensors: 410 tensors, 1396736 rows, 5456 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00046.safetensors: 410 tensors, 1400832 rows, 5472 blocks checked bit-exact vs source, ratio=0.7543, failures=0
[gate_m15_g1] out-00047.safetensors: 426 tensors, 1454080 rows, 5680 blocks checked bit-exact vs source, ratio=0.7541, failures=0
[gate_m15_g1] out-00048.safetensors: 409 tensors, 1394688 rows, 5448 blocks checked bit-exact vs source, ratio=0.7543, failures=0
