[encode_mode15] 164 shards, conservative remaining-to-write estimate 375.9 GB (assumes no savings), free 544.6 GB
[encode_mode15 4/164] out-00003.safetensors: 426 expert tensors encoded (ratio 0.7532), 2.02 GB, 291.3s
[encode_mode15 5/164] out-00004.safetensors: 410 expert tensors encoded (ratio 0.7534), 2.06 GB, 266.9s
[encode_mode15 6/164] out-00005.safetensors: 426 expert tensors encoded (ratio 0.7536), 2.03 GB, 283.6s
[encode_mode15 7/164] out-00006.safetensors: 410 expert tensors encoded (ratio 0.7539), 2.06 GB, 277.2s
[encode_mode15 8/164] out-00007.safetensors: 426 expert tensors encoded (ratio 0.7541), 2.03 GB, 293.6s
[encode_mode15 9/164] out-00008.safetensors: 410 expert tensors encoded (ratio 0.7542), 2.06 GB, 275.6s
[encode_mode15 10/164] out-00009.safetensors: 426 expert tensors encoded (ratio 0.7543), 2.03 GB, 284.8s
[encode_mode15 11/164] out-00010.safetensors: 409 expert tensors encoded (ratio 0.7543), 2.05 GB, 267.4s
[encode_mode15 12/164] out-00011.safetensors: 410 expert tensors encoded (ratio 0.7543), 2.06 GB, 268.7s
[encode_mode15 13/164] out-00012.safetensors: 426 expert tensors encoded (ratio 0.7544), 2.03 GB, 280.1s
[encode_mode15 14/164] out-00013.safetensors: 410 expert tensors encoded (ratio 0.7543), 2.06 GB, 268.9s
[encode_mode15 15/164] out-00014.safetensors: 426 expert tensors encoded (ratio 0.7545), 2.03 GB, 279.4s
[encode_mode15 16/164] out-00015.safetensors: 410 expert tensors encoded (ratio 0.7546), 2.06 GB, 271.2s
[encode_mode15 17/164] out-00016.safetensors: 426 expert tensors encoded (ratio 0.7545), 2.03 GB, 279.4s
[encode_mode15 18/164] out-00017.safetensors: 409 expert tensors encoded (ratio 0.7545), 2.06 GB, 271.4s
[encode_mode15 19/164] out-00018.safetensors: 426 expert tensors encoded (ratio 0.7545), 2.03 GB, 283.4s
[encode_mode15 20/164] out-00019.safetensors: 378 expert tensors encoded (ratio 0.7546), 2.10 GB, 255.7s
[encode_mode15 21/164] out-00020.safetensors: 426 expert tensors encoded (ratio 0.7543), 2.03 GB, 283.2s
[encode_mode15 22/164] out-00021.safetensors: 410 expert tensors encoded (ratio 0.7546), 2.06 GB, 268.8s
[encode_mode15 23/164] out-00022.safetensors: 421 expert tensors encoded (ratio 0.7546), 2.04 GB, 277.4s
[encode_mode15 24/164] out-00023.safetensors: 414 expert tensors encoded (ratio 0.7546), 2.04 GB, 271.9s
[encode_mode15 25/164] out-00024.safetensors: 409 expert tensors encoded (ratio 0.7547), 2.06 GB, 268.7s
[encode_mode15 26/164] out-00025.safetensors: 426 expert tensors encoded (ratio 0.7548), 2.03 GB, 277.9s
[encode_mode15 27/164] out-00026.safetensors: 410 expert tensors encoded (ratio 0.7547), 2.06 GB, 269.2s
[encode_mode15 28/164] out-00027.safetensors: 426 expert tensors encoded (ratio 0.7548), 2.03 GB, 278.8s
[encode_mode15 29/164] out-00028.safetensors: 410 expert tensors encoded (ratio 0.7547), 2.06 GB, 267.9s
[encode_mode15 30/164] out-00029.safetensors: 426 expert tensors encoded (ratio 0.7547), 2.03 GB, 280.0s
